locationId,location,city,country,utc,local,parameter,value,unit,latitude,longitude
10771,Traralgon,Traralgon,AU,2021-07-25T08:00:00+00:00,2021-07-25T18:00:00+10:00,co,0.1,ppm,-38.1942825,146.531464
10676,Morwell South,Morwell,AU,2021-07-25T08:00:00+00:00,2021-07-25T18:00:00+10:00,co,0.09,ppm,-38.2392921,146.3873
10494,Alphington,Melbourne,AU,2021-07-25T08:00:00+00:00,2021-07-25T18:00:00+10:00,co,0.14,ppm,-37.7784081,145.0306
10869,Geelong South,Geelong,AU,2021-07-25T08:00:00+00:00,2021-07-25T18:00:00+10:00,co,0.11,ppm,-38.17356,144.3703
10678,Morwell East,Morwell,AU,2021-07-25T08:00:00+00:00,2021-07-25T18:00:00+10:00,co,0.06,ppm,-38.229393,146.424454
10678,Morwell East,Morwell,AU,2021-07-25T07:00:00+00:00,2021-07-25T17:00:00+10:00,co,0.06,ppm,-38.229393,146.424454
10676,Morwell South,Morwell,AU,2021-07-25T07:00:00+00:00,2021-07-25T17:00:00+10:00,co,0.11,ppm,-38.2392921,146.3873
10771,Traralgon,Traralgon,AU,2021-07-25T07:00:00+00:00,2021-07-25T17:00:00+10:00,co,0.1,ppm,-38.1942825,146.531464
10869,Geelong South,Geelong,AU,2021-07-25T07:00:00+00:00,2021-07-25T17:00:00+10:00,co,0.1,ppm,-38.17356,144.3703
10494,Alphington,Melbourne,AU,2021-07-25T07:00:00+00:00,2021-07-25T17:00:00+10:00,co,0.14,ppm,-37.7784081,145.0306
9320,Monash,Canberra,AU,2021-07-25T06:00:00+00:00,2021-07-25T16:00:00+10:00,co,-0.27,ppm,-35.418302,149.094018
10494,Alphington,Melbourne,AU,2021-07-25T06:00:00+00:00,2021-07-25T16:00:00+10:00,co,0.1,ppm,-37.7784081,145.0306
10676,Morwell South,Morwell,AU,2021-07-25T06:00:00+00:00,2021-07-25T16:00:00+10:00,co,0.09,ppm,-38.2392921,146.3873
10771,Traralgon,Traralgon,AU,2021-07-25T06:00:00+00:00,2021-07-25T16:00:00+10:00,co,0.08,ppm,-38.1942825,146.531464
10678,Morwell East,Morwell,AU,2021-07-25T06:00:00+00:00,2021-07-25T16:00:00+10:00,co,0.06,ppm,-38.229393,146.424454
10869,Geelong South,Geelong,AU,2021-07-25T06:00:00+00:00,2021-07-25T16:00:00+10:00,co,0.09,ppm,-38.17356,144.3703
9075,Florey,Canberra,AU,2021-07-25T06:00:00+00:00,2021-07-25T16:00:00+10:00,co,0.6,ppm,-35.220606,149.043539
10869,Geelong South,Geelong,AU,2021-07-25T05:00:00+00:00,2021-07-25T15:00:00+10:00,co,0.08,ppm,-38.17356,144.3703
9075,Florey,Canberra,AU,2021-07-25T05:00:00+00:00,2021-07-25T15:00:00+10:00,co,0.6,ppm,-35.220606,149.043539
10676,Morwell South,Morwell,AU,2021-07-25T05:00:00+00:00,2021-07-25T15:00:00+10:00,co,0.08,ppm,-38.2392921,146.3873
9320,Monash,Canberra,AU,2021-07-25T05:00:00+00:00,2021-07-25T15:00:00+10:00,co,-0.26,ppm,-35.418302,149.094018
10678,Morwell East,Morwell,AU,2021-07-25T05:00:00+00:00,2021-07-25T15:00:00+10:00,co,0.05,ppm,-38.229393,146.424454
10771,Traralgon,Traralgon,AU,2021-07-25T05:00:00+00:00,2021-07-25T15:00:00+10:00,co,0.07,ppm,-38.1942825,146.531464
10494,Alphington,Melbourne,AU,2021-07-25T05:00:00+00:00,2021-07-25T15:00:00+10:00,co,0.12,ppm,-37.7784081,145.0306
10678,Morwell East,Morwell,AU,2021-07-25T04:00:00+00:00,2021-07-25T14:00:00+10:00,co,0.06,ppm,-38.229393,146.424454
9075,Florey,Canberra,AU,2021-07-25T04:00:00+00:00,2021-07-25T14:00:00+10:00,co,0.6,ppm,-35.220606,149.043539
10676,Morwell South,Morwell,AU,2021-07-25T04:00:00+00:00,2021-07-25T14:00:00+10:00,co,0.08,ppm,-38.2392921,146.3873
10494,Alphington,Melbourne,AU,2021-07-25T04:00:00+00:00,2021-07-25T14:00:00+10:00,co,0.12,ppm,-37.7784081,145.0306
9320,Monash,Canberra,AU,2021-07-25T04:00:00+00:00,2021-07-25T14:00:00+10:00,co,-0.27,ppm,-35.418302,149.094018
10869,Geelong South,Geelong,AU,2021-07-25T04:00:00+00:00,2021-07-25T14:00:00+10:00,co,0.08,ppm,-38.17356,144.3703
10771,Traralgon,Traralgon,AU,2021-07-25T04:00:00+00:00,2021-07-25T14:00:00+10:00,co,0.06,ppm,-38.1942825,146.531464
9320,Monash,Canberra,AU,2021-07-25T03:00:00+00:00,2021-07-25T13:00:00+10:00,co,-0.27,ppm,-35.418302,149.094018
9075,Florey,Canberra,AU,2021-07-25T03:00:00+00:00,2021-07-25T13:00:00+10:00,co,0.6,ppm,-35.220606,149.043539
9075,Florey,Canberra,AU,2021-07-25T02:00:00+00:00,2021-07-25T12:00:00+10:00,co,0.6,ppm,-35.220606,149.043539
9320,Monash,Canberra,AU,2021-07-25T02:00:00+00:00,2021-07-25T12:00:00+10:00,co,-0.27,ppm,-35.418302,149.094018
9320,Monash,Canberra,AU,2021-07-25T01:00:00+00:00,2021-07-25T11:00:00+10:00,co,-0.27,ppm,-35.418302,149.094018
9075,Florey,Canberra,AU,2021-07-25T01:00:00+00:00,2021-07-25T11:00:00+10:00,co,0.6,ppm,-35.220606,149.043539
